Country,Year,code_wdi,code_ifs,region,incomegroup,incomesubgroup,ka,kai,kao,eq,eqi,eqo,eq_plbn,eq_siln,eq_pabr,eq_siar,bo,boi,boo,bo_plbn,bo_siln,bo_pabr,bo_siar,mm,mmi,mmo,mm_plbn,mm_siln,mm_pabr,mm_siar,ci,cii,cio,ci_plbn,ci_siln,ci_pabr,ci_siar,de,dei,deo,de_plbn,de_siln,de_pabr,de_siar,cc,cci,cco,fc,fci,fco,gs,gsi,gso,di,dii,dio,ldi,re,rei,reo,re_pabr,re_plbn,re_slbn
Algeria,1995,DZA,612,Middle East & North Africa,Middle income,Upper middle income,1.00,1.00,1.00,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,n.a,1,1,n.a,1,1,n.a,1,1,1,1,0,1,,1,1,n.a,n.a
Algeria,1996,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.75,0.50,1.00,1,,1,n.a,n.a,1,n.a,,,,,,,,0.5,0,1,0,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,n.a,1,1,n.a,1,1,n.a,1,1,1,1,0,1,,1,1,n.a,n.a
Algeria,1997,DZA,612,Middle East & North Africa,Middle income,Upper middle income,1.00,1.00,1.00,1,,1,n.a,n.a,1,n.a,,,,n.a,n.a,n.a,n.a,1,,1,n.a,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,n.a,1,1,n.a,1,1,n.a,1,1,1,1,0,1,,1,1,n.a,n.a
Algeria,1998,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.75,0.50,1.00,1,,1,n.a,n.a,1,n.a,,,,n.a,n.a,n.a,n.a,0.5,0,1,0,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,n.a,1,1,n.a,1,1,n.a,1,1,1,1,0,1,,1,1,n.a,n.a
Algeria,1999,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.75,0.50,1.00,1,,1,n.a,n.a,1,n.a,,,,n.a,n.a,n.a,n.a,0.5,0,1,0,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,,1,n.a,n.a,1,n.a,1,n.a,1,1,n.a,1,1,n.a,1,1,1,1,0,1,,1,1,n.a,n.a
Algeria,2000,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.88,0.75,1.00,1,1,1,1,1,1,n.a,1,1,1,1,1,n.a,n.a,0.5,0,1,0,n.a,1,n.a,,,,n.r,n.r,n.r,n.r,1,,1,n.a,n.a,1,n.a,1,n.a,1,1,n.a,1,1,n.a,1,1,1,1,1,1,,1,1,n.a,n.a
Algeria,2001,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.88,0.75,1.00,1,1,1,1,1,1,n.a,1,1,1,1,1,n.a,n.a,0.5,0,1,0,n.a,1,n.a,,,,n.r,n.r,n.r,n.r,1,,1,n.a,n.a,1,n.a,1,n.a,1,1,n.a,1,1,n.a,1,1,1,1,1,1,,1,1,n.a,n.a
Algeria,2002,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.93,0.86,1.00,1,1,1,1,1,1,n.a,1,1,1,1,1,1,n.a,0.5,0,1,0,n.a,1,n.a,1,,1,n.r,n.r,1,n.r,1,,1,n.a,n.a,1,n.a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,n.a,n.a
Algeria,2003,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.93,0.86,1.00,1,1,1,1,1,1,n.a,1,1,1,1,1,1,n.a,0.5,0,1,0,n.a,1,n.a,1,,1,n.r,n.r,1,n.r,1,,1,n.a,n.a,1,n.a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,n.a,n.a
Algeria,2004,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.93,0.86,1.00,1,1,1,1,1,1,n.a,1,1,1,1,1,1,n.a,0.5,0,1,0,n.a,1,n.a,1,,1,n.r,n.r,1,n.r,1,,1,n.a,n.a,1,n.a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,n.a,n.a
