Country,Country Name,Country RegionId,Bond,Bond Name,Indicator,Indicator Name,Indicator Unit,Scale,Units,1985M11,1985M12,1986M1,1986M2,1986M3,1986M4,1986M5,1986M6,1986M7,1986M8,1986M9,1986M10,1986M11,1986M12,1987M1,1987M2,1987M3,1987M4,1987M5,1987M6,1987M7,1987M8,1987M9,1987M10,1987M11,1987M12,1988M1,1988M2,1988M3,1988M4,1988M5,1988M6,1988M7,1988M8,1988M9,1988M10,1988M11,1988M12,1989M1,1989M2,1989M3,1989M4,1989M5,1989M6,1989M7,1989M8,1989M9,1989M10,1989M11,1989M12,1990M1,1990M2,1990M3,1990M4,1990M5,1990M6,1990M7,1990M8,1990M9,1990M10,1990M11,1990M12,1991M1,1991M2,1991M3,1991M4,1991M5,1991M6,1991M7,1991M8,1991M9,1991M10,1991M11,1991M12,1992M1,1992M2,1992M3,1992M4,1992M5,1992M6,1992M7,1992M8,1992M9,1992M10,1992M11,1992M12,1993M1,1993M2,1993M3,1993M4,1993M5,1993M6,1993M7,1993M8,1993M9,1993M10,1993M11,1993M12,1994M1,1994M2,1994M3,1994M4,1994M5,1994M6,1994M7,1994M8,1994M9,1994M10,1994M11,1994M12,1995M1,1995M2,1995M3,1995M4,1995M5,1995M6,1995M7,1995M8,1995M9,1995M10,1995M11,1995M12,1996M1,1996M2,1996M3,1996M4,1996M5,1996M6,1996M7,1996M8,1996M9,1996M10,1996M11,1996M12,1997M1,1997M2,1997M3,1997M4,1997M5,1997M6,1997M7,1997M8,1997M9,1997M10,1997M11,1997M12,1998M1,1998M2,1998M3,1998M4,1998M5,1998M6,1998M7,1998M8,1998M9,1998M10,1998M11,1998M12,1999M1,1999M2,1999M3,1999M4,1999M5,1999M6,1999M7,1999M8,1999M9,1999M10,1999M11,1999M12,2000M1,2000M2,2000M3,2000M4,2000M5,2000M6,2000M7,2000M8,2000M9,2000M10,2000M11,2000M12,2001M1,2001M2,2001M3,2001M4,2001M5,2001M6,2001M7,2001M8,2001M9,2001M10,2001M11,2001M12,2002M1,2002M2,2002M3,2002M4,2002M5,2002M6,2002M7,2002M8,2002M9,2002M10,2002M11,2002M12,2003M1,2003M2,2003M3,2003M4,2003M5,2003M6,2003M7,2003M8,2003M9,2003M10,2003M11,2003M12,2004M1,2004M2,2004M3,2004M4,2004M5,2004M6,2004M7,2004M8,2004M9,2004M10,2004M11,2004M12,2005M1,2005M2,2005M3,2005M4,2005M5,2005M6,2005M7,2005M8,2005M9,2005M10,2005M11,2005M12,2006M1,2006M2,2006M3,2006M4,2006M5,2006M6,2006M7,2006M8,2006M9,2006M10,2006M11,2006M12,2007M1,2007M2,2007M3,2007M4,2007M5,2007M6,2007M7,2007M8,2007M9,2007M10,2007M11,2007M12,2008M1,2008M2,2008M3,2008M4,2008M5,2008M6,2008M7,2008M8,2008M9,2008M10,2008M11,2008M12,2009M1,2009M2,2009M3,2009M4,2009M5,2009M6,2009M7,2009M8,2009M9,2009M10,2009M11,2009M12,2010M1,2010M2,2010M3,2010M4,2010M5,2010M6,2010M7,2010M8,2010M9,2010M10,2010M11,2010M12,2011M1,2011M2,2011M3,2011M4,2011M5,2011M6,2011M7,2011M8,2011M9,2011M10,2011M11,2011M12,2012M1,2012M2,2012M3,2012M4,2012M5,2012M6,2012M7,2012M8,2012M9,2012M10,2012M11,2012M12,2013M1,2013M2,2013M3,2013M4,2013M5,2013M6,2013M7,2013M8,2013M9,2013M10,2013M11,2013M12,2014M1,2014M2,2014M3,2014M4,2014M5,2014M6,2014M7,2014M8,2014M9,2014M10,2014M11,2014M12,2015M1,2015M2,2015M3,2015M4,2015M5,2015M6,2015M7,2015M8,2015M9,2015M10,2015M11,2015M12
VN,Vietnam,VN,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65,8.7,8.35,8.8,8.75,8.74,8.89,9.08,9.28,9.27,17.1,15.5,15.5,14.5,14.5,,9.8,9.8,9.8,9.1,9,9.2,9.7,9.4,9.8,9.2,10.92,10.25,11.04,11.3,11.54,11.88,11.8,11.57,11.27,11.06,11.1,11.06,11.02,11.4,11.42,11.37,11.54,11.84,11.98,12.38,11.96,11.95,11.94,11.93,11.98,11.94,11.99,12.01,11.44,11.36,10.81,9.9,9.91,10.1,9.98,9.88,10.07,9.97,9.84,9.73,9.31,9.33,9.21,8.94,8.9,8.93,8.81,8.93,8.85,8.9,8.95,8.85,8.666,8.495,8.466,8.694,8.577,8.426,8.038,6.66,6.302,6.893,7.15,6.645,6.433,6.476,6.493,6.538,6.785,6.776,7.002,7.041,7.062,7.06,7.052
US,United States,US,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,9.78,9.26,9.19,8.7,7.78,7.3,7.71,7.8,7.3,7.17,7.45,7.43,7.25,7.11,7.08,7.25,7.25,8.02,8.61,8.4,8.45,8.76,9.42,9.52,8.86,8.99,8.67,8.152,8.569,8.867,9.213,8.81,9.118,9.254,8.857,8.642,9.062,9.145,9.003,9.323,9.304,9.018,8.603,8.097,7.812,8.256,8.303,7.923,7.838,7.933,8.423,8.527,8.621,9.073,8.618,8.423,8.351,8.859,8.81,8.627,8.256,8.079,8.021,8.045,8.064,8.018,8.061,8.232,8.157,7.814,7.452,7.422,7.374,6.699,7.276,7.252,7.53,7.583,7.322,7.123,6.696,6.604,6.354,6.789,6.928,6.69,6.361,6.013,6.024,6.009,6.11,5.778,5.809,5.446,5.374,5.42,5.817,5.787,5.645,6.133,6.738,7.041,7.152,7.325,7.113,7.178,7.608,7.812,7.906,7.831,7.579,7.205,7.198,7.055,6.286,6.207,6.424,6.286,6.182,6.024,5.745,5.575,5.58,6.1,6.33,6.67,6.85,6.72,6.8,6.945,6.7,6.34,6.05,6.43,6.5,6.556,6.907,6.72,6.663,6.502,6.013,6.339,6.103,5.835,5.88,5.744,5.516,5.624,5.658,5.82,5.558,5.45,5.494,5.048,4.429,4.603,4.718,4.658,4.653,5.294,5.242,5.35,5.624,5.785,5.902,5.974,5.881,6.028,6.193,6.435,6.662,6.409,6.002,6.218,5.977,6.027,6.039,5.727,5.808,5.758,5.477,5.112,5.027,4.902,4.915,5.336,5.383,5.348,5.055,4.84,4.59,4.242,4.754,5.029,5.046,4.874,5.406,5.089,5.045,4.809,4.459,4.13,3.6,3.895,4.211,3.818,3.966,3.692,3.802,3.84,3.373,3.516,4.409,4.4,3.939,4.286,4.238,4.252,4.127,3.972,3.841,4.487,4.592,4.583,4.473,4.119,4.123,4.022,4.353,4.218,4.132,4.383,4.486,4.206,3.987,3.919,4.284,4.016,4.332,4.559,4.49,4.399,4.521,4.557,4.853,5.057,5.123,5.145,4.988,4.732,4.633,4.604,4.462,4.7,4.814,4.577,4.648,4.628,4.892,5.027,4.733,4.527,4.594,4.473,3.949,4.035,3.597,3.519,3.421,3.734,4.067,3.975,3.958,3.825,3.829,3.97,2.92,2.22,2.851,3.021,2.668,3.119,3.461,3.537,3.482,3.401,3.305,3.388,3.198,3.837,3.588,3.619,3.833,3.659,3.303,2.935,2.905,2.47,2.512,2.603,2.797,3.288,3.374,3.422,3.47,3.29,3.059,3.16,2.792,2.234,1.917,2.116,2.071,1.876,1.795,1.974,2.214,1.919,1.563,1.643,1.47,1.548,1.633,1.694,1.616,1.756,1.985,1.881,1.852,1.673,2.132,2.487,2.588,2.789,2.615,2.552,2.746,3.026,2.644,2.649,2.719,2.646,2.475,2.532,2.562,2.345,2.495,2.335,2.173,2.17,1.639,1.996,1.927,2.035,2.123,2.349,2.187,2.214,2.035,2.146,2.208,2.269
GB,United Kingdom,GB,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.094,89.344,86.031,91.062,94.219,93.062,84.719,84.188,87.156,90,89.281,93.406,93.688,99.219,98.5,97.5,97,99.062,100.281,102.375,101.875,100.656,101.375,103.281,103.094,99.156,103.656,105.312,103.719,102.719,100.594,105.15,110.719,107.688,109.844,111,112.625,113.125,99.281,100.219,102.406,104.812,108.562,107.594,108.062,109.688,113.469,6.214,6.915,7.499,7.839,8.636,8.635,8.478,8.498,8.811,8.732,8.449,8.71,8.639,8.615,8.486,8.435,7.932,8.476,8.189,8.084,8.122,7.929,7.544,7.429,7.481,8.044,8.146,8.036,8.139,7.884,7.894,7.891,7.648,7.614,7.331,7.507,7.394,7.222,7.62,7.293,7.189,7.093,6.994,7.069,6.439,6.542,6.494,6.293,6.043,6.099,5.904,5.888,5.696,5.835,5.766,5.336,4.891,5.06,4.68,4.36,4.167,4.627,4.576,4.598,4.859,5.058,5.344,5.189,5.62,5.407,5.227,5.48,5.718,5.438,5.235,5.196,5.168,5.152,5.218,5.327,5.19,5.154,4.874,4.864,4.833,4.87,4.848,5.115,5.214,5.284,4.992,4.837,4.87,4.526,4.649,5.052,4.878,4.982,5.291,5.185,5.257,5.002,4.852,4.614,4.366,4.551,4.669,4.365,4.273,4.161,4.285,4.339,4.061,4.155,4.525,4.603,4.532,5.008,5.035,4.767,4.904,4.761,4.746,4.985,5.151,5.101,5.091,4.92,4.832,4.736,4.594,4.538,4.604,4.78,4.69,4.526,4.307,4.171,4.31,4.148,4.287,4.334,4.204,4.094,4.148,4.189,4.402,4.65,4.583,4.704,4.603,4.515,4.524,4.515,4.509,4.743,4.979,4.799,4.935,5.04,5.252,5.462,5.248,5.043,5.041,4.995,4.687,4.566,4.532,4.47,4.351,4.673,4.975,5.13,4.809,4.479,4.451,4.51,3.771,3.017,3.704,3.609,3.164,3.512,3.736,3.685,3.803,3.563,3.587,3.615,3.525,4.012,3.906,4.039,3.946,3.915,3.588,3.358,3.332,2.834,2.946,3.072,3.222,3.395,3.659,3.689,3.691,3.484,3.299,3.39,2.866,2.605,2.42,2.442,2.317,1.977,1.969,2.148,2.202,2.11,1.568,1.731,1.471,1.474,1.715,1.846,1.773,1.836,2.095,1.972,1.762,1.674,2.007,2.438,2.357,2.777,2.719,2.623,2.77,3.032,2.711,2.723,2.739,2.669,2.567,2.671,2.616,2.369,2.426,2.25,1.927,1.756,1.341,1.789,1.579,1.835,1.804,2.03,1.882,1.95,1.765,1.926,1.83,1.961
UG,Uganda,UG,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,12.9,12.5,,,12.3,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,14.5,14.65,14.55,14.2,14,13.75,14,14.5,14.9,14.5,14.2,15,14.75,14.7,13.84,13.98,14.105,13.9,13.7,13.75,13.9,13.729,13.734,13.984,14.704,15.089,16.828,16.864,17.059,17.19,17.182,16.86,17.99,18.842,18.65,19.5,19,19.35
TR,Turkey,TR,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.88,10.55,10.73,10.75,9.82,9.04,9.04,9,8.51,9.14,8.61,9.67,9.7,9.53,9.35,9.65,9.67,9.7,8.97,9.61,9.74,9.93,10,9.76,9.49,9.64,9.26,9.26,8.77,8.14,8.17,8.11,7.96,6.87,6.55,6.7,6.7,7.04,6.17,6.77,8.56,9.14,10.03,8.98,8.75,9.17,10.27,10.1,10.27,10.02,9.18,8.98,8.74,8.88,8.93,9.72,8.48,7.6,8.09,6.99,8.21,8.21,9.14,8.96,9.19,9.34,9.94,10.76,9.54,9.9,10.47
TH,Thailand,TH,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,4.8,5,5.18,5.17,4.9,4.73,4.89,4.95,4.85,4.9,4.78,4.49,4.14,4.25,4.03,4.69,4.93,5.33,6.58,6.05,5.46,5.48,5.33,5.61,5.55,5.48,5.67,5.5,5.28,5.14,5.15,4.77,5.5,4.75,4.47,4.31,3.87,3.88,4.47,4.65,4.8,4.75,4.83,5.17,4.98,4.04,4.47,4.61,4.7,5.24,5.99,5.12,4.5,4.53,3.95,3.85,2.51,3.55,3.95,3.6,3.04,4.15,3.76,3.85,3.9,4.16,4.5,4.4,4.29,4.04,4.09,3.97,3.58,3.35,3.23,3.33,3.02,3.07,3.29,3.64,3.71,3.89,3.94,3.79,3.74,3.75,3.83,4.03,3.59,3.69,3.44,3.41,3.34,3.19,3.59,3.83,3.85,3.72,3.51,3.29,3.39,3.67,3.42,3.61,3.54,3.69,3.68,3.59,3.42,3.51,3.73,3.98,4.31,3.92,3.95,4.13,3.91,3.99,3.67,3.69,3.61,3.73,3.72,3.58,3.47,3.36,3.36,3.08,2.91,2.78,2.88,2.77,2.46,2.81,2.96,2.82,2.82,2.78,2.68,2.76,2.52
TW,Taiwan,TW,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.075,5.433,5.82,6.095,6.282,6.159,6.085,6.177,6.155,6.028,6.034,5.935,5.99,5.964,5.855,5.92,5.656,5.47,5.45,5.448,5.274,5.198,5.182,4.95,4.7,4.5,4.635,3.99,3.72,3.58,3.82,3.21,2.955,3.61,3.96,3.7,3.729,4.039,4.077,3.975,3.614,3.46,3.46,4,3,2.78,2.15,1.8,2.01,1.79,1.61,1.39,1.452,2.1,2.49,2.624,2.84,2.9,2.625,2.74,2.64,2.285,2.43,2.97,2.94,2.97,2.87,2.69,2.723,2.591,2.43,2.447,2.367,2.297,2.148,1.915,1.914,2.02,1.88,1.809,1.865,1.845,1.82,1.732,1.831,1.781,2.2,2.15,2.152,2.102,2.011,1.969,1.976,1.962,2.05,1.98,1.967,1.954,2.078,2.3,2.495,2.665,2.532,2.626,2.71,2.55,2.583,2.352,2.455,2.42,2.511,2.622,2.693,2.51,2.52,2.1,1.983,1.492,1.375,1.519,1.508,1.54,1.64,1.6,1.633,1.53,1.515,1.395,1.435,1.457,1.555,1.482,1.497,1.5,1.44,1.4,1.413,1.36,1.2,1.196,1.27,1.45,1.549,1.43,1.4,1.362,1.43,1.469,1.51,1.6,1.45,1.276,1.375,1.325,1.29,1.269,1.295,1.272,1.285,1.21,1.23,1.176,1.188,1.175,1.145,1.137,1.17,1.195,1.215,1.307,1.195,1.34,1.42,1.53,1.7,1.692,1.63,1.685,1.69,1.65,1.58,1.597,1.548,1.51,1.59,1.61,1.62,1.76,1.64,1.592,1.61,1.482,1.59,1.548,1.575,1.537,1.506,1.45,1.135,1.15,1.2,1.15,1.015
CH,Switzerland,CH,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,4.42,4.41,4.26,4.17,4.26,4.4,4.43,4.32,4.12,4.18,4.08,4.09,4.05,3.93,4.01,4.04,4.04,4.07,4.02,3.98,4.06,4.33,4.12,3.86,3.95,3.94,3.93,3.92,3.77,3.98,4.01,4.19,4.18,4.1,3.98,4.11,4.11,4.58,4.79,4.88,5.11,5.36,5.12,5.18,5.28,5.4,5.41,5.51,5.75,6.17,6.45,6.58,6.69,6.32,6.17,6.08,6.58,6.54,6.53,6.61,6.68,6.43,6.26,6.15,6.06,5.79,5.98,6.03,6.17,6.24,6.76,6.65,6.35,6.2,6.16,6.57,6.58,6.88,6.98,6.96,6.88,6.3,5.88,5.93,5.48,5.37,4.93,4.67,4.8,4.7,4.54,4.49,4.45,4.35,4.14,4.14,4.05,4.08,4.34,4.5,4.76,4.82,4.982,5.163,5.181,5.431,5.557,5.525,5.282,5.265,5.231,5.28,5.101,4.953,4.8,4.889,4.704,4.602,4.413,4.127,3.895,3.84,4.297,4.233,4.243,4.165,4.556,4.37,4.368,4.272,4.05,3.901,3.913,3.844,3.815,3.41,3.678,3.56,3.398,3.342,3.433,3.559,3.541,3.565,3.512,3.282,2.979,2.863,2.948,3.148,2.974,3.137,3.06,2.739,2.718,2.615,2.384,2.357,2.41,2.393,2.463,2.404,2.565,2.863,2.902,3.063,3.249,3.415,3.436,3.503,3.659,3.843,4.145,4.087,4.161,3.997,3.972,3.863,3.909,3.854,3.711,3.504,3.476,3.481,3.273,3.525,3.511,3.339,3.315,3.274,3.195,2.878,3.142,3.474,3.544,3.567,3.595,3.453,3.4,3.212,3.065,3.01,2.596,2.671,2.62,2.209,2.325,2.27,2.374,2.54,2.241,2.408,2.52,2.693,2.536,2.685,2.823,2.626,2.708,2.552,2.5,2.651,2.793,2.892,2.808,2.615,2.608,2.472,2.32,2.307,2.244,,,,,1.977,1.951,1.892,1.9,2.13,2.209,1.916,2.194,2.232,2.489,2.705,2.704,2.826,2.701,2.473,2.409,2.424,2.302,2.481,2.638,2.542,2.681,2.758,3.089,3.23,3.144,3.049,3.018,2.983,2.888,3.065,2.823,2.983,2.926,3.129,3.227,3.309,3.056,2.901,2.63,2.782,2.241,2.228,2.229,2.282,2.146,2.177,2.45,2.366,2.013,2.068,2.018,2.055,1.852,2.025,2.003,1.916,1.892,1.831,1.57,1.523,1.481,1.148,1.384,1.535,1.61,1.763,1.843,1.894,1.952,2.035,1.796,1.713,1.413,1.171,0.964,1.018,0.91,0.69,0.699,0.761,0.857,0.713,0.544,0.658,0.462,0.507,0.528,0.486,0.421,0.452,0.803,0.705,0.728,0.6,0.736,1.041,1.035,1.086,1.02,0.973,0.881,1.089,0.985,0.999,0.956,0.844,0.723,0.645,0.552,0.435,0.478,0.461,0.308,0.368,-0.026,0.026,-0.042,0.017,-0.064,0.104,-0.036,-0.135,-0.122,-0.272,-0.389,-0.075
SE,Sweden,SE,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,,,,,,,,,,,,,10.99,11.68,11.47,11.23,11.16,11.78,11.78,11.77,11.97,12.02,12,11.59,11.71,11.66,11.29,11.33,11.39,11.53,11.29,11.36,11.56,11.47,11.36,11.05,10.93,10.48,10.52,10.92,11.04,11.05,11.12,11.2,11.01,10.98,11.17,12.12,12.55,12.87,13.7,13.75,13.64,13.28,12.89,12.82,13.26,13.35,13.25,12.8,12.3,11.85,11.15,11.33,11.34,10.77,10.6,10.61,10.62,10.18,10,9.84,10,9.53,9.43,9.39,9.5,9.47,9.59,9.8,10.6,11.24,11.06,10.68,9.91,10.14,9.8,9.37,9.41,9.09,8.68,8.24,7.63,7.79,7.56,7.49,7.27,6.84,6.94,7.65,8.4,8.69,9.78,10.65,11.2,11.24,10.95,10.92,10.68,11,10.71,11.18,11.42,10.74,10.58,10.55,10.22,9.64,9.3,8.99,8.6,8.23,8.75,8.76,8.33,8.44,8.34,8.26,8.11,7.8,7.19,7.26,6.85,6.74,6.68,7.1,7.24,6.99,6.77,6.42,6.5,6.38,6.22,6.3,6.03,5.65,5.53,5.35,5.21,5.2,4.97,4.88,4.8,4.76,4.72,4.55,4.25,4.02,4.18,4.44,4.24,4.5,4.87,5.26,5.49,5.69,5.92,5.56,5.59,5.95,5.9,5.51,5.42,5.34,5.13,5.31,5.31,5.26,5.23,5.13,4.92,4.89,4.86,4.75,4.93,5.27,5.38,5.42,5.16,5.26,5.17,4.96,5.24,5.27,5.36,5.63,5.69,5.69,5.52,5.37,5.13,4.97,5.07,5.05,4.89,4.7,4.47,4.57,4.72,4.37,4.2,4.51,4.7,4.73,4.85,4.98,4.86,4.65,4.55,4.31,4.55,4.68,4.72,4.57,4.42,4.37,4.25,4.13,3.9,3.84,3.76,3.86,3.58,3.34,3.11,3.06,3.14,2.98,3.17,3.38,3.37,3.32,3.42,3.55,3.84,3.89,3.93,3.96,3.84,3.7,3.73,3.62,3.65,3.9,3.93,3.79,4.04,4.15,4.44,4.45,4.25,4.22,4.31,4.22,4.31,4.08,4.02,3.92,4.06,4.18,4.43,4.37,4.11,3.9,3.57,3.34,2.67,2.8,2.93,2.94,3.18,3.57,3.62,3.37,3.45,3.38,3.25,3.27,3.24,3.37,3.294,3.178,3.179,2.976,2.64,2.679,2.761,2.24,2.527,2.86,2.948,3.275,3.345,3.325,3.329,3.21,2.907,2.91,2.506,2.1,1.747,1.932,1.775,1.616,1.713,1.902,1.98,1.792,1.282,1.601,1.385,1.409,1.472,1.531,1.473,1.534,1.984,1.887,1.809,1.607,1.925,2.202,2.19,2.447,2.446,2.292,2.241,2.525,2.209,2.228,2.126,1.987,1.807,1.829,0,0,0,0,0,0,0,0,0,0.409,0.734,0,0,0.658,0,0,0.727,1.259
ES,Spain,ES,10YEAR,10-Year Bond Yield,KN.I1,Close,Percent,units,Percent,12.32,12.34,12.36,12.24,12.06,11.35,10.97,11.52,11.51,11.1,10.15,10.29,10.36,10.74,10.59,10.95,12.04,13.43,13.2,13.56,14.01,14.18,14.26,13.36,13.44,12.64,12.36,11.61,11.07,11.3,10.86,11.06,11.14,11.42,12.14,12.51,12.82,13.21,13.2,13.57,13.51,13.62,13.78,12.58,13.7,13.74,13.81,14,14.49,14.49,14.62,14.86,14.79,14.63,14.49,14.45,14.67,15.14,14.86,14.59,14.54,14.52,14.13,13.15,12.53,11.86,11.92,12.15,12.09,11.58,11.62,11.46,11.32,10.93,10.79,10.8,10.87,10.85,11.34,11.83,12.22,12.65,13,12.54,12.53,12.15,11.43,11.35,11.49,11.22,10.57,10.22,9.48,9.09,8.69,8.56,8.28,7.99,8.08,8.83,9.06,9.55,10.28,10.59,10.68,11.22,11.14,11.18,11.38,11.86,11.6,12.26,12.09,11.41,11.54,11.33,10.97,10.8,10.89,10.54,9.95,9.46,9.7,9.89,9.32,9.17,9.11,8.78,8.86,8.44,7.76,7.34,7,6.83,6.74,7.03,6.95,6.61,6.47,6.21,6.3,6.09,5.98,5.96,5.64,5.4,5.24,5.09,5.06,5.13,5.02,4.94,4.74,4.47,4.43,4.41,4.08,3.88,4.02,4.25,4.09,4.27,4.6,4.91,5.17,5.31,5.56,5.28,5.37,5.76,5.73,5.55,5.45,5.63,5.45,5.53,5.5,5.56,5.49,5.45,5.2,5.08,5.071,5.033,4.971,5.356,5.465,5.41,5.18,5.084,5.1,4.657,4.838,5.179,5.075,5.127,5.428,5.297,5.336,5.122,4.913,4.704,4.442,4.652,4.566,4.267,4.105,3.931,4.059,4.184,3.828,3.875,4.222,4.244,4.024,4.323,4.457,4.292,4.242,4.048,4.03,4.249,4.407,4.338,4.238,4.044,4.006,3.872,3.737,3.705,3.559,3.744,3.639,3.426,3.264,3.117,3.236,3.08,3.136,3.364,3.472,3.321,3.487,3.509,3.812,3.963,3.996,4.056,3.921,3.751,3.714,3.785,3.727,3.997,4.154,4.006,4.101,4.192,4.458,4.622,4.403,4.362,4.432,4.403,4.286,4.404,4.095,4.147,4.223,4.395,4.614,4.902,4.674,4.539,4.594,4.575,3.912,3.79,4.382,4.267,4.056,3.937,4.401,4.14,3.836,3.791,3.795,3.816,3.751,3.978,4.136,3.876,3.819,4.041,4.298,4.574,4.231,4.055,4.143,4.219,5.575,5.483,5.378,5.385,5.296,5.29,5.365,5.459,6.137,5.056,5.139,5.553,6.267,5.086,5.02,4.99,5.35,5.79,6.55,6.5,6.76,6.72,5.966,5.634,5.326,5.312,5.218,5.115,5.055,4.13,4.432,4.765,4.663,4.535,4.322,4.049,4.127,4.145,3.675,3.514,3.238,3.025,2.858,2.671,2.511,2.228,2.171,2.105,1.909,1.61,1.46,1.257,1.23,1.5,1.84,2.309,1.839,2.116,1.897,1.674,1.525,1.781
