Country,Year,code_wdi,code_ifs,region,incomegroup,incomesubgroup,ka,kai,kao,bo,boi,boo,Yield_mean,Govt_GDP,GDP_growth
Australia,1995,AUS,193,East Asia & Pacific,High income,High income: OECD,0.19,0.22,0.17,NA,NA,NA,2.687833333,17.96815479,2.92
Australia,1996,AUS,193,East Asia & Pacific,High income,High income: OECD,0.22,0.28,0.17,NA,NA,NA,1.707916667,17.88809625,4.31
Australia,1997,AUS,193,East Asia & Pacific,High income,High income: OECD,0.23,0.25,0.2,0.25,0,0.5,0.579833333,17.56262046,4.31
Australia,1998,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.3,0.35,0.25,0,0.5,0.283666667,17.57788508,4.66
Australia,1999,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.3,0.35,0.25,0,0.5,0.38325,17.93365539,4.28
Australia,2000,AUS,193,East Asia & Pacific,High income,High income: OECD,0.35,0.3,0.4,0.25,0,0.5,0.326166667,17.75303659,3.2
Australia,2001,AUS,193,East Asia & Pacific,High income,High income: OECD,0.35,0.3,0.4,0.25,0,0.5,0.686583333,17.73548882,2.47
Australia,2002,AUS,193,East Asia & Pacific,High income,High income: OECD,0.35,0.3,0.4,0.25,0,0.5,1.293166667,17.52560234,4.04
Australia,2003,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.3,0.35,0.25,0,0.5,1.386416667,17.56602839,2.96
Australia,2004,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.3,0.35,0.25,0,0.5,1.377083333,17.41158569,4.07
Australia,2005,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.3,0.35,0.25,0,0.5,1.057666667,17.47801635,3.17
Australia,2006,AUS,193,East Asia & Pacific,High income,High income: OECD,0.3,0.25,0.35,0.25,0,0.5,0.841916667,17.3651771,2.71
Australia,2007,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.25,0.4,0.25,0,0.5,1.450416667,17.24481351,4.47
Australia,2008,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.25,0.4,0.25,0,0.5,2.151916667,17.15799591,2.61
Australia,2009,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.25,0.4,0.25,0,0.5,1.913666667,17.54986977,1.74
Australia,2010,AUS,193,East Asia & Pacific,High income,High income: OECD,0.35,0.25,0.45,0.25,0,0.5,2.211416667,18.00405084,2.31
Australia,2011,AUS,193,East Asia & Pacific,High income,High income: OECD,0.13,0.2,0.05,0,0,0,2.114666667,17.84738401,2.66
Australia,2012,AUS,193,East Asia & Pacific,High income,High income: OECD,0.18,0.3,0.05,0,0,0,1.635166667,18.07029504,3.62
Australia,2013,AUS,193,East Asia & Pacific,High income,High income: OECD,0.18,0.3,0.05,0,0,0,1.35225,17.99409373,2.12
